order_date,daily_revenue,daily_order_count,revenue_rolling_7d,revenue_rolling_30d,avg_daily_revenue_7d,avg_daily_revenue_30d
2024-03-22,41696.610000000000000000,67,280561.110000000000000000,1171763.670000000000000000,40080.16,39058.79
2024-03-23,31587.770000000000000000,65,267561.630000000000000000,1169044.450000000000000000,38223.09,38968.15
2024-03-24,48767.380000000000000000,68,275168.910000000000000000,1181357.090000000000000000,39309.84,39378.57
2024-03-25,52840.290000000000000000,79,290280.220000000000000000,1201486.660000000000000000,41468.60,40049.56
2024-03-26,42002.130000000000000000,75,299118.480000000000000000,1194869.250000000000000000,42731.21,39828.98
2024-03-27,43797.390000000000000000,73,306039.620000000000000000,1208375.160000000000000000,43719.95,40279.17
2024-03-28,46249.230000000000000000,76,306940.800000000000000000,1216226.730000000000000000,43848.69,40540.89
2024-03-29,49712.410000000000000000,73,314956.600000000000000000,1224764.030000000000000000,44993.80,40825.47
2024-03-30,39758.290000000000000000,63,323127.120000000000000000,1230298.610000000000000000,46161.02,41009.95
2024-03-31,45155.030000000000000000,71,319514.770000000000000000,1230974.600000000000000000,45644.97,41032.49
2024-04-01,47275.040000000000000000,83,313949.520000000000000000,1230319.040000000000000000,44849.93,41010.63
2024-04-02,45907.080000000000000000,63,317854.470000000000000000,1242058.660000000000000000,45407.78,41401.96
2024-04-03,59242.500000000000000000,77,333299.580000000000000000,1257081.400000000000000000,47614.23,41902.71
2024-04-04,39461.490000000000000000,66,326511.840000000000000000,1263553.580000000000000000,46644.55,42118.45
2024-04-05,40491.130000000000000000,65,317290.560000000000000000,1270093.330000000000000000,45327.22,42336.44
2024-04-06,33046.500000000000000000,58,310578.770000000000000000,1265821.550000000000000000,44368.40,42194.05
2024-04-07,43070.370000000000000000,60,308494.110000000000000000,1266329.300000000000000000,44070.59,42210.98
2024-04-08,35507.030000000000000000,59,296726.100000000000000000,1252813.880000000000000000,42389.44,41760.46
2024-04-09,43327.490000000000000000,65,294146.510000000000000000,1255297.380000000000000000,42020.93,41843.25
2024-04-10,28957.560000000000000000,54,263861.570000000000000000,1241461.920000000000000000,37694.51,41382.06
2024-04-11,34493.610000000000000000,58,258893.690000000000000000,1232738.610000000000000000,36984.81,41091.29
2024-04-12,36862.510000000000000000,60,255265.070000000000000000,1234574.730000000000000000,36466.44,41152.49
2024-04-13,39265.290000000000000000,63,261483.860000000000000000,1247014.200000000000000000,37354.84,41567.14
2024-04-14,45098.450000000000000000,67,263511.940000000000000000,1252437.080000000000000000,37644.56,41747.90
2024-04-15,44256.040000000000000000,79,272260.950000000000000000,1252105.870000000000000000,38894.42,41736.86
2024-04-16,32920.120000000000000000,51,261853.580000000000000000,1243865.890000000000000000,37407.65,41462.20
2024-04-17,48148.030000000000000000,76,281044.050000000000000000,1254284.940000000000000000,40149.15,41809.50
2024-04-18,32194.660000000000000000,56,278745.100000000000000000,1253315.730000000000000000,39820.73,41777.19
2024-04-19,37983.240000000000000000,66,279865.830000000000000000,1254422.720000000000000000,39980.83,41814.09
2024-04-20,41738.790000000000000000,62,282339.330000000000000000,1250813.460000000000000000,40334.19,41693.78
2024-04-21,30129.910000000000000000,50,267370.790000000000000000,1239246.760000000000000000,38195.83,41308.23
2024-04-22,42669.760000000000000000,62,265784.510000000000000000,1250328.750000000000000000,37969.22,41677.63
2024-04-23,32732.810000000000000000,60,265597.200000000000000000,1234294.180000000000000000,37942.46,41143.14
2024-04-24,35313.560000000000000000,56,252762.730000000000000000,1216767.450000000000000000,36108.96,40558.92
2024-04-25,35430.360000000000000000,56,255998.430000000000000000,1210195.680000000000000000,36571.20,40339.86
2024-04-26,40479.610000000000000000,76,258494.800000000000000000,1206877.900000000000000000,36927.83,40229.26
2024-04-27,36620.890000000000000000,67,253376.900000000000000000,1197249.560000000000000000,36196.70,39908.32
2024-04-28,26747.300000000000000000,56,249994.290000000000000000,1174284.450000000000000000,35713.47,39142.82
2024-04-29,39036.750000000000000000,57,246361.280000000000000000,1173562.910000000000000000,35194.47,39118.76
2024-04-30,32910.380000000000000000,58,246538.850000000000000000,1161318.260000000000000000,35219.84,38710.61
2024-05-01,41096.390000000000000000,66,252321.680000000000000000,1155139.610000000000000000,36045.95,38504.65
2024-05-02,42843.720000000000000000,70,259735.040000000000000000,1152076.250000000000000000,37105.01,38402.54
2024-05-03,43225.920000000000000000,73,262481.350000000000000000,1136059.670000000000000000,37497.34,37868.66
2024-05-04,45693.070000000000000000,73,271553.530000000000000000,1142291.250000000000000000,38793.36,38076.38
2024-05-05,32543.600000000000000000,53,277349.830000000000000000,1134343.720000000000000000,39621.40,37811.46
2024-05-06,40199.540000000000000000,67,278512.620000000000000000,1141496.760000000000000000,39787.52,38049.89
2024-05-07,49796.310000000000000000,83,295398.550000000000000000,1148222.700000000000000000,42199.79,38274.09
2024-05-08,51368.920000000000000000,72,305671.080000000000000000,1164084.590000000000000000,43667.30,38802.82
2024-05-09,46776.570000000000000000,76,309603.930000000000000000,1167533.670000000000000000,44229.13,38917.79
2024-05-10,50761.480000000000000000,77,317139.490000000000000000,1189337.590000000000000000,45305.64,39644.59
2024-05-11,40076.650000000000000000,60,311523.070000000000000000,1194920.630000000000000000,44503.30,39830.69
2024-05-12,40568.570000000000000000,77,319548.040000000000000000,1198626.690000000000000000,45649.72,39954.22
2024-05-13,46325.000000000000000000,77,325673.500000000000000000,1205686.400000000000000000,46524.79,40189.55
2024-05-14,37344.070000000000000000,56,313221.260000000000000000,1197932.020000000000000000,44745.89,39931.07
2024-05-15,24876.080000000000000000,52,286728.420000000000000000,1178552.060000000000000000,40961.20,39285.07
2024-05-16,31698.190000000000000000,47,271650.040000000000000000,1177330.130000000000000000,38807.15,39244.34
2024-05-17,43590.570000000000000000,69,264479.130000000000000000,1172772.670000000000000000,37782.73,39092.42
2024-05-18,42340.360000000000000000,62,266742.840000000000000000,1182918.370000000000000000,38106.12,39430.61
2024-05-19,40145.900000000000000000,63,266320.170000000000000000,1185081.030000000000000000,38045.74,39502.70
2024-05-20,33564.520000000000000000,44,253559.690000000000000000,1176906.760000000000000000,36222.81,39230.23
2024-05-21,33777.170000000000000000,64,249992.790000000000000000,1180554.020000000000000000,35713.26,39351.80
2024-05-22,35817.740000000000000000,61,260934.450000000000000000,1173702.000000000000000000,37276.35,39123.40
2024-05-23,35894.290000000000000000,68,265130.550000000000000000,1176863.480000000000000000,37875.79,39228.78
2024-05-24,37524.290000000000000000,63,259064.270000000000000000,1179074.210000000000000000,37009.18,39302.47
2024-05-25,45007.310000000000000000,71,261731.220000000000000000,1188651.160000000000000000,37390.17,39621.71
2024-05-26,38227.830000000000000000,63,259813.150000000000000000,1186399.380000000000000000,37116.16,39546.65
2024-05-27,59852.610000000000000000,85,286101.240000000000000000,1209631.100000000000000000,40871.61,40321.04
2024-05-28,32724.900000000000000000,47,285048.970000000000000000,1215608.700000000000000000,40721.28,40520.29
2024-05-29,33017.770000000000000000,56,282249.000000000000000000,1209589.720000000000000000,40321.29,40319.66
2024-05-30,39529.580000000000000000,64,285884.290000000000000000,1216208.920000000000000000,40840.61,40540.30
2024-05-31,50897.500000000000000000,77,299257.500000000000000000,1226010.030000000000000000,42751.07,40867.00
2024-06-01,43915.490000000000000000,68,298165.680000000000000000,1227081.800000000000000000,42595.10,40902.73
2024-06-02,39685.620000000000000000,61,299623.470000000000000000,1223541.500000000000000000,42803.35,40784.72
2024-06-03,30943.870000000000000000,55,270714.730000000000000000,1208792.300000000000000000,38673.53,40293.08
2024-06-04,46203.350000000000000000,68,284193.180000000000000000,1222452.050000000000000000,40599.03,40748.40
2024-06-05,46940.930000000000000000,62,298116.340000000000000000,1229193.440000000000000000,42588.05,40973.11
2024-06-06,41752.050000000000000000,65,300338.810000000000000000,1221149.180000000000000000,42905.54,40704.97
2024-06-07,28785.880000000000000000,61,278227.190000000000000000,1198566.140000000000000000,39746.74,39952.20
2024-06-08,37584.950000000000000000,63,271896.650000000000000000,1189374.520000000000000000,38842.38,39645.82
2024-06-09,51481.180000000000000000,79,283692.210000000000000000,1190094.220000000000000000,40527.46,39669.81
2024-06-10,30811.450000000000000000,52,283559.790000000000000000,1180829.020000000000000000,40508.54,39360.97
2024-06-11,30458.480000000000000000,56,267814.920000000000000000,1170718.930000000000000000,38259.27,39023.96
2024-06-12,37266.830000000000000000,65,258140.820000000000000000,1161660.760000000000000000,36877.26,38722.03
2024-06-13,25894.190000000000000000,49,242282.960000000000000000,1150210.880000000000000000,34611.85,38340.36
2024-06-14,37863.900000000000000000,63,251360.980000000000000000,1163198.700000000000000000,35908.71,38773.29
2024-06-15,41998.950000000000000000,67,255774.980000000000000000,1173499.460000000000000000,36539.28,39116.65
2024-06-16,35430.610000000000000000,59,239724.410000000000000000,1165339.500000000000000000,34246.34,38844.65
2024-06-17,46809.000000000000000000,67,255721.960000000000000000,1169808.140000000000000000,36531.71,38993.60
2024-06-18,36252.410000000000000000,75,261515.890000000000000000,1165914.650000000000000000,37359.41,38863.82
2024-06-19,40507.850000000000000000,67,264756.910000000000000000,1172857.980000000000000000,37822.42,39095.27
2024-06-20,37790.810000000000000000,69,276653.530000000000000000,1176871.620000000000000000,39521.93,39229.05
2024-06-21,52844.060000000000000000,82,291633.690000000000000000,1193897.940000000000000000,41661.96,39796.60
2024-06-22,30668.500000000000000000,43,280303.240000000000000000,1188672.150000000000000000,40043.32,39622.41
2024-06-23,45693.420000000000000000,70,290566.050000000000000000,1196841.280000000000000000,41509.44,39894.71
2024-06-24,43895.290000000000000000,57,287652.340000000000000000,1195729.260000000000000000,41093.19,39857.64
2024-06-25,34721.780000000000000000,52,286121.710000000000000000,1192223.210000000000000000,40874.53,39740.77
2024-06-26,46376.200000000000000000,64,291990.060000000000000000,1178746.800000000000000000,41712.87,39291.56
2024-06-27,41613.480000000000000000,63,295812.730000000000000000,1187635.380000000000000000,42258.96,39587.85
2024-06-28,37234.170000000000000000,57,280202.840000000000000000,1191851.780000000000000000,40028.98,39728.39
2024-06-29,33170.650000000000000000,51,282704.990000000000000000,1185492.850000000000000000,40386.43,39516.43
2024-06-30,44231.880000000000000000,71,281243.450000000000000000,1178827.230000000000000000,40177.64,39294.24
2024-07-01,37252.930000000000000000,65,274601.090000000000000000,1172164.670000000000000000,39228.73,39072.16
2024-07-02,45578.930000000000000000,63,285458.240000000000000000,1178057.980000000000000000,40779.75,39268.60
2024-07-03,29072.170000000000000000,59,268154.210000000000000000,1176186.280000000000000000,38307.74,39206.21
2024-07-04,49112.190000000000000000,78,275652.920000000000000000,1179095.120000000000000000,39378.99,39303.17
2024-07-05,51383.100000000000000000,66,289801.850000000000000000,1183537.290000000000000000,41400.26,39451.24
2024-07-06,51788.250000000000000000,74,308419.450000000000000000,1193573.490000000000000000,44059.92,39785.78
2024-07-07,36914.510000000000000000,54,301102.080000000000000000,1201702.120000000000000000,43014.58,40056.74
2024-07-08,42375.730000000000000000,61,306224.880000000000000000,1206492.900000000000000000,43746.41,40216.43
2024-07-09,46806.590000000000000000,69,307452.540000000000000000,1201818.310000000000000000,43921.79,40060.61
2024-07-10,36646.740000000000000000,54,315027.110000000000000000,1207653.600000000000000000,45003.87,40255.12
2024-07-11,40963.370000000000000000,68,306878.290000000000000000,1218158.490000000000000000,43839.76,40605.28
2024-07-12,30509.470000000000000000,59,286004.660000000000000000,1211401.130000000000000000,40857.81,40380.04
2024-07-13,45908.700000000000000000,81,280125.110000000000000000,1231415.640000000000000000,40017.87,41047.19
2024-07-14,40630.660000000000000000,72,283841.260000000000000000,1234182.400000000000000000,40548.75,41139.41
2024-07-15,36681.080000000000000000,55,278146.610000000000000000,1228864.530000000000000000,39735.23,40962.15
2024-07-16,31723.870000000000000000,56,263063.890000000000000000,1225157.790000000000000000,37580.56,40838.59
2024-07-17,53031.600000000000000000,81,279448.750000000000000000,1231380.390000000000000000,39921.25,41046.01
2024-07-18,48504.170000000000000000,78,286989.550000000000000000,1243632.150000000000000000,40998.51,41454.41
2024-07-19,34338.880000000000000000,58,290818.960000000000000000,1237463.180000000000000000,41545.57,41248.77
2024-07-20,45133.180000000000000000,65,290043.440000000000000000,1244805.550000000000000000,41434.78,41493.52
2024-07-21,38126.450000000000000000,68,287539.230000000000000000,1230087.940000000000000000,41077.03,41002.93
2024-07-22,24819.800000000000000000,58,275677.950000000000000000,1224239.240000000000000000,39382.56,40807.97
2024-07-23,28610.500000000000000000,51,272564.580000000000000000,1207156.320000000000000000,38937.80,40238.54
2024-07-24,41769.930000000000000000,65,261302.910000000000000000,1205030.960000000000000000,37328.99,40167.70
2024-07-25,43207.070000000000000000,71,256005.810000000000000000,1213516.250000000000000000,36572.26,40450.54
2024-07-26,33581.620000000000000000,52,255248.550000000000000000,1200721.670000000000000000,36464.08,40024.06
2024-07-27,41087.020000000000000000,67,251202.390000000000000000,1200195.210000000000000000,35886.06,40006.51
2024-07-28,34124.290000000000000000,58,247200.230000000000000000,1197085.330000000000000000,35314.32,39902.84
2024-07-29,47018.310000000000000000,61,269398.740000000000000000,1210932.990000000000000000,38485.53,40364.43
2024-07-30,43173.640000000000000000,66,283961.880000000000000000,1209874.750000000000000000,40565.98,40329.16
2024-07-31,44345.350000000000000000,65,286537.300000000000000000,1216967.170000000000000000,40933.90,40565.57
2024-08-01,36460.230000000000000000,56,279790.460000000000000000,1207848.470000000000000000,39970.07,40261.62
2024-08-02,48570.280000000000000000,74,294779.120000000000000000,1227346.580000000000000000,42111.30,40911.55
2024-08-03,40363.360000000000000000,66,294055.460000000000000000,1218597.750000000000000000,42007.92,40619.93
2024-08-04,31511.340000000000000000,60,291442.510000000000000000,1198725.990000000000000000,41634.64,39957.53
2024-08-05,39501.270000000000000000,60,283925.470000000000000000,1186439.010000000000000000,40560.78,39547.97
2024-08-06,40858.670000000000000000,64,281610.500000000000000000,1190383.170000000000000000,40230.07,39679.44
2024-08-07,35669.080000000000000000,57,272934.230000000000000000,1183676.520000000000000000,38990.60,39455.88
2024-08-08,41164.380000000000000000,67,277638.380000000000000000,1178034.310000000000000000,39662.63,39267.81
2024-08-09,38250.230000000000000000,48,267318.330000000000000000,1179637.800000000000000000,38188.33,39321.26
2024-08-10,53486.350000000000000000,80,280441.320000000000000000,1192160.780000000000000000,40063.05,39738.69
2024-08-11,36489.120000000000000000,62,285419.100000000000000000,1198140.430000000000000000,40774.16,39938.01
2024-08-12,52733.250000000000000000,70,298651.080000000000000000,1204964.980000000000000000,42664.44,40165.50
2024-08-13,46081.970000000000000000,67,303874.380000000000000000,1210416.290000000000000000,43410.63,40347.21
2024-08-14,28082.570000000000000000,46,296287.870000000000000000,1201817.780000000000000000,42326.84,40060.59
2024-08-15,32571.290000000000000000,57,287694.780000000000000000,1202665.200000000000000000,41099.25,40088.84
2024-08-16,46396.060000000000000000,76,295840.610000000000000000,1196029.660000000000000000,42262.94,39867.66
2024-08-17,45304.940000000000000000,71,287659.200000000000000000,1192830.430000000000000000,41094.17,39761.01
2024-08-18,29339.070000000000000000,53,280509.150000000000000000,1187830.620000000000000000,40072.74,39594.35
2024-08-19,35187.360000000000000000,58,262963.260000000000000000,1177884.800000000000000000,37566.18,39262.83
2024-08-20,44552.410000000000000000,70,261433.700000000000000000,1184310.760000000000000000,37347.67,39477.03
2024-08-21,32872.280000000000000000,62,266223.410000000000000000,1192363.240000000000000000,38031.92,39745.44
2024-08-22,46429.660000000000000000,68,280081.780000000000000000,1210182.400000000000000000,40011.68,40339.41
2024-08-23,40892.920000000000000000,61,274578.640000000000000000,1209305.390000000000000000,39225.52,40310.18
2024-08-24,40299.640000000000000000,66,269573.340000000000000000,1206397.960000000000000000,38510.48,40213.27
2024-08-25,30031.880000000000000000,62,270266.150000000000000000,1202848.220000000000000000,38609.45,40094.94
2024-08-26,43515.290000000000000000,68,278594.080000000000000000,1205276.490000000000000000,39799.15,40175.88
2024-08-27,37992.780000000000000000,60,272034.450000000000000000,1209144.980000000000000000,38862.06,40304.83
2024-08-28,35565.800000000000000000,64,274727.970000000000000000,1197692.470000000000000000,39246.85,39923.08
2024-08-29,29966.690000000000000000,50,258265.000000000000000000,1184485.520000000000000000,36895.00,39482.85
2024-08-30,29050.120000000000000000,45,246422.200000000000000000,1169190.290000000000000000,35203.17,38973.01
2024-08-31,52693.180000000000000000,79,258815.740000000000000000,1185423.240000000000000000,36973.68,39514.11
2024-09-01,29850.600000000000000000,49,258634.460000000000000000,1166703.560000000000000000,36947.78,38890.12
2024-09-02,29347.110000000000000000,54,244466.280000000000000000,1155687.310000000000000000,34923.75,38522.91
2024-09-03,34824.900000000000000000,56,241298.400000000000000000,1159000.870000000000000000,34471.20,38633.36
2024-09-04,50435.090000000000000000,82,256167.690000000000000000,1169934.690000000000000000,36595.38,38997.82
2024-09-05,51544.710000000000000000,77,277745.710000000000000000,1180620.730000000000000000,39677.96,39354.02
2024-09-06,40511.940000000000000000,61,289207.530000000000000000,1185463.590000000000000000,41315.36,39515.45
2024-09-07,50560.460000000000000000,63,287074.810000000000000000,1194859.670000000000000000,41010.69,39828.66
2024-09-08,47004.830000000000000000,75,304229.040000000000000000,1203614.270000000000000000,43461.29,40120.48
2024-09-09,31736.630000000000000000,59,306618.560000000000000000,1181864.550000000000000000,43802.65,39395.49
2024-09-10,36473.080000000000000000,61,308266.740000000000000000,1181848.510000000000000000,44038.11,39394.95
2024-09-11,38097.480000000000000000,64,295929.130000000000000000,1167212.740000000000000000,42275.59,38907.09
2024-09-12,39479.820000000000000000,62,283864.240000000000000000,1160610.590000000000000000,40552.03,38687.02
2024-09-13,45793.700000000000000000,65,289146.000000000000000000,1178321.720000000000000000,41306.57,39277.39
2024-09-14,44621.060000000000000000,71,283206.600000000000000000,1190371.490000000000000000,40458.09,39679.05
2024-09-15,42298.490000000000000000,74,278500.260000000000000000,1186273.920000000000000000,39785.75,39542.46
2024-09-16,36250.920000000000000000,67,283014.550000000000000000,1177219.900000000000000000,40430.65,39240.66
2024-09-17,46193.340000000000000000,70,292734.810000000000000000,1194074.170000000000000000,41819.26,39802.47
2024-09-18,38583.220000000000000000,57,293220.550000000000000000,1197470.030000000000000000,41888.65,39915.67
2024-09-19,42228.770000000000000000,70,295969.500000000000000000,1195146.390000000000000000,42281.36,39838.21
2024-09-20,43110.900000000000000000,65,293286.700000000000000000,1205385.010000000000000000,41898.10,40179.50
2024-09-21,46298.470000000000000000,71,294964.110000000000000000,1205253.820000000000000000,42137.73,40175.13
2024-09-22,38530.640000000000000000,63,291196.260000000000000000,1202891.540000000000000000,41599.47,40096.38
2024-09-23,26255.100000000000000000,51,281200.440000000000000000,1188847.000000000000000000,40171.49,39628.23
2024-09-24,38648.820000000000000000,64,273655.920000000000000000,1197463.940000000000000000,39093.70,39915.46
2024-09-25,34329.830000000000000000,54,269402.530000000000000000,1188278.480000000000000000,38486.08,39609.28
2024-09-26,41845.410000000000000000,76,269019.170000000000000000,1192131.110000000000000000,38431.31,39737.70
2024-09-27,32412.080000000000000000,57,258320.350000000000000000,1188977.390000000000000000,36902.91,39632.58
2024-09-28,41671.840000000000000000,64,253693.720000000000000000,1200682.540000000000000000,36241.96,40022.75
2024-09-29,36901.570000000000000000,59,252064.650000000000000000,1208533.990000000000000000,36009.24,40284.47
2024-09-30,36647.460000000000000000,62,262457.010000000000000000,1192488.270000000000000000,37493.86,39749.61
2024-10-01,49643.710000000000000000,79,273451.900000000000000000,1212281.380000000000000000,39064.56,40409.38
2024-10-02,35394.630000000000000000,62,274516.700000000000000000,1218328.900000000000000000,39216.67,40610.96
2024-10-03,39015.160000000000000000,64,271686.450000000000000000,1222519.160000000000000000,38812.35,40750.64
